d_1;score;Hotels;distance_from_sea;Companies;Houses;mun_category;Airports;Finance;CO2(tons/km^2);Evcs;Gas
ΔΗΜΟΣ ΚΟΝΙΤΣΑΣ;7;330;75903;416;8;1;0;22455.56;34.63368354;5;1.930
ΔΗΜΟΣ ΜΕΓΑΡΕΩΝ;8;0;5450;2594;204;2;1;93624.234;634.1872026;35;1.849
ΔΗΜΟΣ ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ;8;283;10343;792;83;1;0;41306.86;107.4753097;9;1.810
ΔΗΜΟΣ ΕΠΙΔΑΥΡΟΥ;8;348;7551;620;6;2;0;30700.81;141.3080213;7;1.859
ΔΗΜΟΣ ΒΕΛΟΥ - ΒΟΧΑΣ;8;0;7632;1357;15;2;0;77243.57;655.2061897;15;1.825
ΔΗΜΟΣ ΒΥΡΩΝΟΣ;8;0;7243;6495;2853;4;0;145517.94;52836.0429;59;1.738
ΔΗΜΟΣ ΝΕΜΕΑΣ;2;501;20020;431;17;2;0;24546.791;167.6070187;6;1.848
ΔΗΜΟΣ ΞΥΛΟΚΑΣΤΡΟΥ - ΕΥΡΩΣΤΙΝΗΣ;5;523;8794;1164;286;2;0;66239.086;225.0275387;14;1.878
ΔΗΜΟΣ ΕΛΑΦΟΝΗΣΟΥ;5;215;1312;73;0;2;1;3953.9907;287.7865364;1;2.060
ΔΗΜΟΣ ΚΑΛΑΜΑΤΑΣ;5;4378;8716;6073;1894;3;1;311356.2;1076.653408;59;1.825
ΔΗΜΟΣ ΟΙΧΑΛΙΑΣ;6;0;21494;718;6;2;0;36846.17;134.9438666;9;1.820
ΔΗΜΟΣ ΚΗΦΙΣΙΑΣ;7;446;13686;6971;1629;4;0;179295.11;15178.66458;58;1.769
ΔΗΜΟΣ ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ;7;0;4776;3718;1449;4;0;83298.65;115940.6785;33;1.729
ΔΗΜΟΣ ΖΩΓΡΑΦΟΥ;7;0;9351;7672;3233;4;0;171905.28;67551.47179;70;1.899
ΔΗΜΟΣ ΗΛΙΟΥΠΟΛΕΩΣ;7;0;5212;8425;3696;4;0;188764.33;49648.59419;74;1.759
ΔΗΜΟΣ ΚΑΙΣΑΡΙΑΝΗΣ;7;0;8940;2884;1362;4;0;64621.047;27672.31755;27;1.854
ΔΗΜΟΣ ΓΑΛΑΤΣΙΟΥ;7;0;10737;6361;2622;4;0;142523.12;119016.6141;56;1.699
ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ;7;782;9855;1950;14;2;0;102939.52;271.2860166;25;1.818
ΔΗΜΟΣ ΘΕΡΜΟΥ;7;89;25547;412;1;2;0;22821.574;99.42432877;6;1.860
ΔΗΜΟΣ ΜΟΝΕΜΒΑΣΙΑΣ;7;2071;4699;1763;16;2;1;94475.695;146.1379217;20;1.915
ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΜΑΝΗΣ;3;677;4985;487;4;2;0;24997.19;94.39555627;6;1.867
ΔΗΜΟΣ ΜΕΣΣΗΝΗΣ;3;1297;8325;1621;113;2;2;83150.734;225.1290892;18;1.845
ΔΗΜΟΣ ΤΡΙΦΥΛΙΑΣ;7;762;6194;1888;107;2;0;96866.27;239.2759761;20;1.890
ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ;7;30232;6971;70058;35409;4;0;1569504;134439.6596;578;1.717
ΔΗΜΟΣ ΠΑΤΡΕΩΝ;4;5079;6524;15938;5276;3;2;840976.2;3795.374829;185;1.799
ΔΗΜΟΣ ΛΗΜΝΟΥ;4;2035;774;1460;16;2;2;71564.78;236.5861492;15;1.750
ΔΗΜΟΣ ΗΡΩΙΚΗΣ ΝΗΣΟΥ ΨΑΡΩΝ;7;24;987;34;0;1;1;1826.2977;60.10318799;1;2.181
ΔΗΜΟΣ ΜΕΓΙΣΤΗΣ;1;499;643;57;1;1;2;3205;361.8740346;1;2.170
ΔΗΜΟΣ ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ;6;3615;6312;1450;38;2;1;74398.25;204.2232825;17;1.870
ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ;1;0;3488;6436;3731;4;0;237777.42;39369.81137;76;1.819
ΔΗΜΟΣ ΠΗΝΕΙΟΥ;2;266;6800;1339;21;2;0;86079.7;689.506149;21;1.867
ΔΗΜΟΣ ΘΗΡΑΣ;9;16201;631;3965;30;2;1;84828.13;3007.136635;11;2.045
ΔΗΜΟΣ ΚΥΘΗΡΩΝ;9;789;4199;289;8;1;2;9004.128;76.12929858;3;2.136
ΔΗΜΟΣ ΙΩΑΝΝΙΤΩΝ;9;5480;53815;8847;2841;3;1;476918.16;1736.737523;95;1.769
ΔΗΜΟΣ ΠΩΓΩΝΙΟΥ;4;0;41291;536;1;1;0;28924.45;60.54791396;7;1.865
ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ;2;6345;5620;3752;408;2;0;101141.65;754.9681577;30;1.795
ΔΗΜΟΣ ΓΡΕΒΕΝΩΝ;2;1341;101442;1521;621;2;0;101621.27;66.04048343;20;1.840
ΔΗΜΟΣ ΔΩΔΩΝΗΣ;6;184;33424;567;0;2;0;30607.035;68.29138922;5;1.939
ΔΗΜΟΣ ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ;6;22;23212;363;0;2;0;22438.693;63.67808936;6;1.865
ΔΗΜΟΣ ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ;6;0;8774;778;13;2;0;48120.26;273.1671928;11;1.847
ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ;7;0;66207;864;5;2;0;39621.156;186.4949464;12;1.840
ΔΗΜΟΣ ΠΑΞΩΝ;7;12125;988;312;6;1;1;9250.102;757.8642412;3;2.090
ΔΗΜΟΣ ΒΟΡΕΙΑΣ ΚΕΡΚΥΡΑΣ;5;12125;3298;2288;256;2;0;67755.15;866.1935088;15;1.892
ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ;5;1281;20668;6392;1745;3;0;353615.16;418.6177992;86;1.848
ΔΗΜΟΣ ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ;5;1691;4532;1398;19;2;1;89883.29;327.0464837;21;1.847
ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ ΑΤΤΙΚΗΣ;5;317;14494;4831;1986;4;0;124258.94;80265.25337;45;1.758
