d_1;score;Hotels;distance_from_sea;Companies;Houses;mun_category;Airports;Finance;CO2(tons/km^2);Evcs;Gas
ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ;1;0;15156;499;6;2;0;21083.553;98.19422026;7;1.865
ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ;3;0;21152;1116;80;2;0;47149.047;137.3740991;16;1.850
ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ;4;0;32499;805;2;2;0;34038.363;193.084853;12;1.848
ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ;4;309;55740;1093;13;1;0;46205.008;196.1919686;16;1.868
ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ;4;0;26027;575;17;2;0;24289.172;115.2431951;9;1.839
ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ;2;309;70696;1290;118;1;0;54501.38;94.73776647;19;1.810
ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ;3;22321;2338;1848;78;2;0;49872.35;414.1857328;6;1.878
ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ;8;7773;4781;1267;65;2;0;34206;183.6994454;4;1.870
ΔΗΜΟΣ ΚΟΖΑΝΗΣ;2;878;63207;4838;1925;3;1;318329.62;363.3771936;63;1.815
ΔΗΜΟΣ ΒΟΪΟΥ;2;164;101850;1085;106;2;0;71476.164;86.66628843;16;1.865
ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ;2;5555;8170;1852;31;2;1;49978.227;185.7579141;13;1.848
ΔΗΜΟΣ ΣΕΡΒΙΩΝ;5;0;51052;683;52;2;0;44961.727;244.7128309;9;1.818
ΔΗΜΟΣ ΕΟΡΔΑΙΑΣ;5;694;73886;3054;1032;2;0;201033.8;346.7261521;41;1.835
ΔΗΜΟΣ ΒΕΛΒΕΝΤΟΥ;7;0;39451;220;52;2;0;14503.783;139.9933127;4;1.895
ΔΗΜΟΣ ΔΕΣΚΑΤΗΣ;7;0;72894;369;1;1;0;24670.65;69.01870199;6;1.897
ΔΗΜΟΣ ΚΑΣΤΟΡΙΑΣ;7;2135;113254;2628;717;2;1;157489.28;272.0147678;33;1.880
ΔΗΜΟΣ ΝΕΣΤΟΡΙΟΥ;1;0;98665;173;0;2;0;10370.679;22.18619342;3;1.929
ΔΗΜΟΣ ΑΡΓΟΥΣ ΟΡΕΣΤΙΚΟΥ;1;0;111599;840;73;2;0;50398.277;194.8344689;9;1.796
ΔΗΜΟΣ ΦΛΩΡΙΝΑΣ;4;1017;100463;2042;766;2;0;140350.17;202.2639877;29;1.830
ΔΗΜΟΣ ΖΑΓΟΡΙΟΥ;6;940;65940;264;1;1;0;14270.351;21.12749078;2;1.899
ΔΗΜΟΣ ΑΡΤΑΙΩΝ;2;714;13456;2844;796;2;0;175566.64;506.067617;35;1.835
ΔΗΜΟΣ ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ;2;22;36753;379;7;1;0;23454.992;60.58508703;6;1.907
ΔΗΜΟΣ ΗΓΟΥΜΕΝΙΤΣΑΣ;4;3473;6388;2342;544;2;1;108415.03;421.1955291;24;1.820
ΔΗΜΟΣ ΣΟΥΛΙΟΥ;4;0;19194;798;11;2;0;36970.5;122.2961073;8;1.859
ΔΗΜΟΣ ΦΙΛΙΑΤΩΝ;4;138;13968;578;5;2;0;26782.21;76.33137627;7;1.840
ΔΗΜΟΣ ΔΟΞΑΤΟΥ;6;0;19361;881;20;1;0;46512.5;290.6595935;13;1.789
ΔΗΜΟΣ ΠΡΟΣΟΤΣΑΝΗΣ;6;56;44803;782;3;1;0;41269.33;130.327004;11;1.869
ΔΗΜΟΣ ΚΟΜΟΤΗΝΗΣ;5;1469;18626;3653;1687;3;0;250085.83;482.0608582;61;1.825
ΔΗΜΟΣ ΙΑΣΜΟΥ;5;0;10519;692;2;1;0;47422.85;121.3806384;13;1.885
ΔΗΜΟΣ ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ;7;0;14421;672;3;1;0;46028.516;89.11851711;10;1.869
ΔΗΜΟΣ ΔΡΑΜΑΣ;7;1148;44008;4049;1644;3;0;213541.11;386.9948407;48;1.823
ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ;2;3152;9451;4380;1843;3;2;275030.25;300.0355306;66;1.815
ΔΗΜΟΣ ΔΙΔΥΜΟΤΕΙΧΟΥ;1;126;72119;988;44;1;0;62076.844;145.6973917;15;1.839
ΔΗΜΟΣ ΟΡΕΣΤΙΑΔΑΣ;1;389;89511;1939;442;2;0;121741.445;169.1532194;27;1.869
ΔΗΜΟΣ ΣΑΜΟΘΡΑΚΗΣ;2;221;5362;160;5;1;1;10071.498;74.97833836;3;2.134
ΔΗΜΟΣ ΣΟΥΦΛΙΟΥ;2;57;42213;720;5;1;0;45264.125;45.2892759;12;1.869
ΔΗΜΟΣ ΘΑΣΟΥ;2;11257;8844;2334;45;2;1;50146.23;434.1820575;12;1.918
ΔΗΜΟΣ ΚΑΒΑΛΑΣ;1;2727;7749;5132;2320;3;2;252966.69;1157.096268;60;1.799
ΔΗΜΟΣ ΝΕΣΤΟΥ;1;191;11342;1599;101;2;0;78839.625;186.6439855;21;1.819
ΔΗΜΟΣ ΠΑΓΓΑΙΟΥ;4;214;10469;2305;165;2;0;113667.34;260.3908003;27;1.849
ΔΗΜΟΣ ΞΑΝΘΗΣ;4;1184;31128;3692;1951;3;1;254138.25;635.4750483;59;1.788
ΔΗΜΟΣ ΑΒΔΗΡΩΝ;4;174;5827;996;1;2;0;68602.96;241.1651461;15;1.799
ΔΗΜΟΣ ΜΥΚΗΣ;4;0;25298;809;19;2;0;55777.355;108.903643;15;1.877
ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ;4;0;42351;235;1;2;0;12272.502;51.50598604;4;1.849
ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ;1;512;60039;354;0;2;0;18452.396;145.7700251;4;1.890
ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ;1;270;65822;756;0;2;0;39327.87;196.6753523;12;1.863
ΔΗΜΟΣ ΠΑΛΑΜΑ;1;0;67451;900;1;2;0;46841.504;192.0651397;14;1.878
ΔΗΜΟΣ ΒΟΛΟΥ;2;7437;1805;10778;3290;3;2;484842.4;2216.245628;131;1.760
ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ;8;920;2936;353;16;2;0;15907.118;186.284557;4;1.940
ΔΗΜΟΣ ΜΕΓΑΝΗΣΙΟΥ;8;227;113;157;0;1;1;3547.3;497.4707935;1;1.960
ΔΗΜΟΣ ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ;8;548;13373;3506;421;2;0;173269.69;271.2347366;39;1.849
ΔΗΜΟΣ ΕΡΜΙΟΝΙΔΑΣ;4;2517;4680;1190;31;2;0;58889.777;219.2201153;10;1.881
ΔΗΜΟΣ ΚΟΡΙΝΘΙΩΝ;9;595;6601;4298;642;2;0;244415.52;559.5224105;46;1.827
ΔΗΜΟΣ ΛΟΥΤΡΑΚΙΟΥ - ΠΕΡΑΧΩΡΑΣ - ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ;9;5565;4733;1668;642;2;0;94952.08;452.8185583;18;1.798
ΔΗΜΟΣ ΣΙΚΥΩΝΙΩΝ;2;157;21889;1596;206;2;0;90872.49;210.8558672;17;1.779
ΔΗΜΟΣ ΣΠΑΡΤΗΣ;2;1910;28734;2663;649;2;0;142560.2;177.2800038;25;1.879
ΔΗΜΟΣ ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ;5;2424;4666;1035;55;2;1;55455.477;159.531671;11;1.867
ΔΗΜΟΣ ΕΥΡΩΤΑ;5;177;13857;1294;4;2;0;69370.234;117.6285193;16;1.837
ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ;5;823;2153;645;21;2;0;29055.979;138.8213762;7;1.919
ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ;3;0;13702;686;0;2;0;30868.049;98.79344025;9;1.847
ΔΗΜΟΣ ΣΚΙΑΘΟΥ;3;7079;1710;979;136;2;2;19199.572;1387.78213;4;2.119
ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ;1;1304;989;561;19;1;1;11008.592;306.2113755;4;2.249
ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ;1;2538;2630;779;9;1;1;15282.1455;572.2202483;4;2.095
ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ;7;719;83252;5981;1436;3;0;274108;783.3050793;73;1.825
ΔΗΜΟΣ ΜΕΤΕΩΡΩΝ;7;3630;83737;1469;153;2;0;67350.375;70.49635713;19;1.849
ΔΗΜΟΣ ΠΥΛΗΣ;1;141;55886;983;3;2;0;45092.28;104.4677975;13;1.855
ΔΗΜΟΣ ΛΑΜΙΕΩΝ;2;2106;14250;4667;1648;3;0;329149.2;398.6375306;56;1.839
ΔΗΜΟΣ ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ;2;110;17007;588;7;1;0;41500.17;89.19940187;8;1.909
ΔΗΜΟΣ ΔΟΜΟΚΟΥ;5;200;31637;644;2;1;0;45446.676;73.58632747;9;1.867
ΔΗΜΟΣ ΛΟΚΡΩΝ;5;420;1514;1253;105;2;0;88407.6;164.8715099;16;1.859
ΔΗΜΟΣ ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ;5;3803;6426;1421;275;2;1;91408.33;221.6205443;13;1.899
ΔΗΜΟΣ ΚΑΡΠΕΝΗΣΙΟΥ;5;1768;51475;762;56;2;0;56830.63;65.75147939;5;1.921
ΔΗΜΟΣ ΜΑΚΡΑΚΩΜΗΣ;4;234;43235;951;17;2;0;67110.35;91.96142016;14;1.865
ΔΗΜΟΣ ΚΑΜΕΝΩΝ ΒΟΥΡΛΩΝ;4;2209;4161;765;74;2;0;53978.45;183.4753547;11;1.769
ΔΗΜΟΣ ΣΤΥΛΙΔΟΣ;2;163;7632;801;44;2;0;56533.523;139.6897515;12;1.877
ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ;3;224;14082;2096;701;2;0;145545.23;243.5185891;25;1.829
ΔΗΜΟΣ ΑΛΙΑΡΤΟΥ - ΘΕΣΠΙΕΩΝ;3;0;17195;625;8;2;0;43466;196.529954;9;1.849
ΔΗΜΟΣ ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ;3;1111;8220;541;57;2;0;37642.8;148.3824131;3;1.885
ΔΗΜΟΣ ΘΗΒΑΙΩΝ;1;287;13240;2319;243;2;0;161034.14;225.2541477;31;1.838
ΔΗΜΟΣ ΟΡΧΟΜΕΝΟΥ;1;0;14635;668;9;2;0;46476.63;129.5574212;7;1.780
ΔΗΜΟΣ ΤΑΝΑΓΡΑΣ;1;0;14647;1313;35;2;0;91244.92;229.6852881;13;1.888
ΔΗΜΟΣ ΧΑΛΚΙΔΕΩΝ;5;4289;511;8340;2076;3;1;536333.2;1559.05767;102;1.785
ΔΗΜΟΣ ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ;5;147;10792;1188;19;2;0;76429.445;121.3630164;16;1.869
ΔΗΜΟΣ ΕΡΕΤΡΙΑΣ;5;3897;6162;975;27;2;1;62767.71;459.3215959;12;1.835
ΔΗΜΟΣ ΚΑΡΥΣΤΟΥ;1;2201;6021;892;171;2;1;57405.023;105.0171165;10;1.899
ΔΗΜΟΣ ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ;2;535;9942;2029;120;2;1;130521.78;200.1669099;24;1.897
ΔΗΜΟΣ ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ;2;1158;5587;922;11;2;0;59351.04;125.2237703;12;1.909
ΔΗΜΟΣ ΣΚΥΡΟΥ;3;802;1834;224;3;1;2;14424.293;79.75178244;1;2.029
ΔΗΜΟΣ ΑΓΡΑΦΩΝ;3;15;37987;397;0;1;0;29630.955;35.31553203;6;1.975
ΔΗΜΟΣ ΔΕΛΦΩΝ;3;3267;11810;1619;224;2;1;119633;117.9059026;24;1.929
ΔΗΜΟΣ ΔΩΡΙΔΟΣ;1;634;14661;807;17;2;0;59667.95;66.00450787;12;1.966
ΔΗΜΟΣ ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ ΚΑΙ ΔΙΑΠΟΝΤΙΩΝ ΝΗΣ;6;12126;3864;8552;956;2;1;253230.75;2651.309686;55;1.829
ΔΗΜΟΣ ΝΟΤΙΑΣ ΚΕΡΚΥΡΑΣ;6;12125;1562;1936;214;2;1;57340.535;859.3331096;10;1.910
ΔΗΜΟΣ ΖΑΚΥΝΘΟΥ;6;35873;6352;5302;499;2;2;157240.08;955.7873583;40;1.860
ΔΗΜΟΣ ΙΘΑΚΗΣ;6;265;1762;431;5;1;1;10767.849;262.3321979;3;2.095
ΔΗΜΟΣ ΣΑΜΗΣ;3;1776;722;666;35;2;1;21392.072;170.5149364;5;1.990
ΔΗΜΟΣ ΛΕΥΚΑΔΑΣ;3;5441;2495;3756;198;2;1;84462.01;798.7484025;18;1.888
ΔΗΜΟΣ ΕΡΥΜΑΝΘΟΥ;1;0;17943;623;2;2;0;32881.03;85.35864498;9;1.869
ΔΗΜΟΣ ΚΑΛΑΒΡΥΤΩΝ;7;782;28319;699;17;2;0;36887.33;52.69110761;5;1.929
ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ;7;345;1567;2294;262;2;1;126961.4;271.4597229;27;1.855
ΔΗΜΟΣ ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ;7;354;7452;1052;7;2;0;58250.258;128.3092644;13;1.879
ΔΗΜΟΣ ΑΡΓΟΣΤΟΛΙΟΥ;8;7103;5710;2708;146;2;2;86903.59;1319.265265;18;1.947
ΔΗΜΟΣ ΛΗΞΟΥΡΙΟΥ;8;2219;2712;849;46;2;1;27268.975;525.6527599;8;1.892
ΔΗΜΟΣ ΑΜΦΙΛΟΧΙΑΣ;8;418;11612;1082;161;2;0;59907.625;79.85732354;14;1.879
ΔΗΜΟΣ ΝΑΥΠΑΚΤΙΑΣ;4;1466;15413;1804;527;2;1;99843.4;165.7717395;22;1.865
ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ;2;76;7930;734;15;2;1;40619.38;100.147101;7;1.940
ΔΗΜΟΣ ΠΥΡΓΟΥ;2;1757;9802;2755;797;2;1;176793.67;501.577992;40;1.844
ΔΗΜΟΣ ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ;8;298;52362;396;0;1;0;21401.309;87.5434231;6;1.854
ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ;8;2442;43848;11845;4492;3;0;573930.6;2836.425213;154;1.759
ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ;6;11;37808;1832;52;2;0;88826.375;94.18690134;25;1.844
ΔΗΜΟΣ ΤΕΜΠΩΝ;6;59;15556;863;3;2;0;41876.637;120.4386093;10;1.839
ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ;4;0;37136;1602;101;2;0;77692.09;245.4199506;23;1.828
ΔΗΜΟΣ ΜΕΤΣΟΒΟΥ;4;648;78240;424;13;2;0;22894.129;92.32600647;5;1.947
ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ;3;943;70429;3806;1352;2;0;197760.12;479.9614364;53;1.849
ΔΗΜΟΣ ΑΝΔΡΙΤΣΑΙΝΑΣ - ΚΡΕΣΤΕΝΩΝ;3;0;15575;697;8;2;0;44804.527;137.2570572;12;1.889
ΔΗΜΟΣ ΑΓΙΑΣ;3;171;10144;771;10;2;0;37376.14;93.7447539;11;1.835
ΔΗΜΟΣ ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ;1;3844;27097;699;8;2;0;44939.66;106.6445128;10;1.859
ΔΗΜΟΣ ΤΡΙΠΟΛΗΣ;1;1926;32946;3654;1378;2;0;190311.25;193.816887;38;1.847
ΔΗΜΟΣ ΓΟΡΤΥΝΙΑΣ;1;915;40617;666;14;1;0;34711.1;49.61549903;7;1.970
ΔΗΜΟΣ ΜΕΓΑΛΟΠΟΛΗΣ;1;188;36832;730;63;2;1;38071.777;79.10086148;8;1.885
ΔΗΜΟΣ ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ;2;279;7852;603;9;1;0;31454.365;79.70281424;7;1.940
ΔΗΜΟΣ ΝΑΥΠΛΙΕΩΝ;2;7513;6964;2853;388;2;1;141122.39;567.1510327;31;1.778
ΔΗΜΟΣ ΚΙΛΕΛΕΡ;2;0;35490;1301;5;2;0;63083.805;107.2343138;16;1.798
ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ;2;0;32959;1174;124;2;0;56945.805;127.7271874;16;1.818
ΔΗΜΟΣ ΣΟΦΑΔΩΝ;4;169;56106;1112;51;2;0;57878.027;126.0141146;15;1.840
ΔΗΜΟΣ ΑΛΜΥΡΟΥ;4;26;10173;1241;31;2;0;55877.418;108.6988562;15;1.816
ΔΗΜΟΣ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ;4;779;1000;5461;3246;4;0;159655.33;92728.11782;57;1.719
ΔΗΜΟΣ ΑΧΑΡΝΩΝ;4;576;17534;7682;1494;4;0;266088.1;5744.935415;100;1.749
ΔΗΜΟΣ ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ;5;3549;1641;3591;2903;4;0;124480.41;7790.645613;45;1.715
ΔΗΜΟΣ ΔΙΟΝΥΣΟΥ;6;130;11749;2963;168;4;0;102734.18;2144.755731;37;1.875
ΔΗΜΟΣ ΚΡΩΠΙΑΣ;7;0;6951;2089;411;4;0;72426.76;1652.93075;20;1.827
ΔΗΜΟΣ ΛΑΥΡΕΩΤΙΚΗΣ;8;540;3691;1817;273;2;1;63016.594;834.2209544;23;1.899
ΔΗΜΟΣ ΜΑΡΑΘΩΝΟΣ;3;2119;5537;2232;141;2;0;77387.766;808.5353114;29;1.854
ΔΗΜΟΣ ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ;3;1261;2380;1510;505;2;0;52376.02;1489.978848;17;1.875
ΔΗΜΟΣ ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ;2;783;4129;1578;424;2;1;54703.953;3144.5487;20;1.791
ΔΗΜΟΣ ΣΑΡΩΝΙΚΟΥ;9;1030;3686;2108;255;2;0;73093.63;1223.122084;25;1.858
ΔΗΜΟΣ ΩΡΩΠΟΥ;7;320;7438;2412;262;2;1;83611.17;575.5790357;27;1.869
ΔΗΜΟΣ ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ;7;179;11984;1195;91;2;0;43123.35;228.1918487;15;1.818
ΔΗΜΟΣ ΦΥΛΗΣ;9;0;11820;3293;275;2;0;118746.71;2456.099241;49;1.779
ΔΗΜΟΣ ΑΙΓΙΑΛΕΙΑΣ;9;681;6210;3556;546;2;0;187695.72;392.272105;40;1.859
ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ;9;0;10928;4290;1029;4;0;148719.45;11776.49518;53;1.735
ΔΗΜΟΣ ΠΑΙΑΝΙΑΣ;9;100;12169;1981;293;4;0;68696.16;3005.433964;26;1.842
ΔΗΜΟΣ ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ;1;1972;4132;2417;358;2;1;83798.19;2646.823718;30;1.758
ΔΗΜΟΣ ΕΛΕΥΣΙΝΑΣ;2;310;3584;2019;406;4;1;72886.93;4489.900251;28;1.827
ΔΗΜΟΣ ΑΣΠΡΟΠΥΡΓΟΥ;2;326;6274;2142;232;4;0;77318.87;1709.191432;27;1.779
ΔΗΜΟΣ ΠΕΙΡΑΙΩΣ;2;3071;220;12727;9663;4;1;402520.7;92536.16748;153;1.728
ΔΗΜΟΣ ΚΟΡΥΔΑΛΛΟΥ;5;0;4234;4765;2424;4;0;150717.64;87824.12991;61;1.755
ΔΗΜΟΣ ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ;5;36;2819;8041;4949;4;0;254337.7;56899.88033;91;1.724
ΔΗΜΟΣ ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ;5;0;774;6954;4390;4;0;219962.56;59261.63197;89;1.735
ΔΗΜΟΣ ΠΕΡΑΜΑΤΟΣ;1;0;1402;1994;1053;4;1;63085.496;10750.9521;25;1.779
ΔΗΜΟΣ ΝΙΣΥΡΟΥ;2;118;2070;106;0;1;2;5723.992;160.1766409;2;2.280
ΔΗΜΟΣ ΜΗΛΟΥ;2;1286;785;983;1;1;2;28499.223;431.8965877;6;2.250
ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ;2;184;709;87;1;1;1;2724.124;513.56872;2;2.090
ΔΗΜΟΣ ΑΙΓΙΝΑΣ;2;2717;2772;1024;39;2;1;31838.047;925.5389098;12;1.939
ΔΗΜΟΣ ΣΑΛΑΜΙΝΟΣ;4;337;46;2945;291;2;1;91480.86;2490.399493;33;1.887
